,PR-AUC,ROC-AUC,Precision,Recall,F1-Score,TP,FP,TN,FN,Accuracy,FPR,FNR,Specificity
Logistic Regression,0.7638940554609512,0.9720834996210077,0.06097560975609756,0.9183673469387755,0.11435832274459974,90.0,1386.0,55478.0,8.0,0.9755275446789088,0.024373944850872256,0.08163265306122448,0.9756260551491277
Random Forest,0.817139797685305,0.9766441484444087,0.8181818181818182,0.826530612244898,0.8223350253807107,81.0,18.0,56846.0,17.0,0.999385555282469,0.0003165447383230163,0.17346938775510204,0.999683455261677
XGBoost,0.8786285910873155,0.9683850045364235,0.8817204301075269,0.8367346938775511,0.8586387434554974,82.0,11.0,56853.0,16.0,0.9995259997893332,0.00019344400675295442,0.16326530612244897,0.9998065559932471
LightGBM (Default),0.0008973915834749685,0.062134735365727625,0.0005436259853220984,0.02040816326530612,0.0010590415673815197,2.0,3677.0,53187.0,96.0,0.9337628594501598,0.06466305571187395,0.9795918367346939,0.9353369442881261
LightGBM (Optimized),0.6794462170936687,0.9101134967211421,0.48295454545454547,0.8673469387755102,0.6204379562043796,85.0,91.0,56773.0,13.0,0.9981742214107651,0.0016003095104108048,0.1326530612244898,0.9983996904895892
